frame_idx,t_ms,face,eye_blink_l,eye_blink_r,ear,jaw_open,pitch,yaw,roll,bright_mean,warmth
0,0.0,1,0.10733052343130112,0.0695432499051094,0.29161,0.00041036709444597363,-4.789,4.129,2.913,137.53,1.18807
1,33.33,1,0.12788590788841248,0.08185093104839325,0.29,0.0004165403370279819,-5.001,4.035,2.89,137.719,1.18756
2,66.67,1,0.14877620339393616,0.10106272250413895,0.28605,0.0004178997769486159,-5.092,4.002,2.891,137.845,1.18712
3,100.0,1,0.15989693999290466,0.11456795036792755,0.28321,0.0004211545456200838,-5.093,3.956,2.902,137.838,1.18691
4,133.33,1,0.1665549874305725,0.12192381918430328,0.28211,0.00043273004121147096,-5.128,3.937,2.864,137.726,1.18691
5,166.67,1,0.17749521136283875,0.13530249893665314,0.27905,0.0004278516280464828,-5.15,3.978,2.834,137.663,1.18614
6,200.0,1,0.18137994408607483,0.1429157257080078,0.27812,0.0004046558169648051,-5.17,3.982,2.802,137.691,1.18605
7,233.33,1,0.1805623471736908,0.14355303347110748,0.27804,0.0004042242362629622,-5.169,3.98,2.785,137.822,1.18556
8,266.67,1,0.17893671989440918,0.14321079850196838,0.27797,0.0004123299440834671,-5.173,3.987,2.765,137.799,1.18536
9,300.0,1,0.1797344982624054,0.14587745070457458,0.27741,0.00041376551962457597,-5.166,3.976,2.746,137.806,1.18525
10,333.33,1,0.18340469896793365,0.14582927525043488,0.27751,0.00043039192678406835,-5.196,3.989,2.722,137.759,1.18481
11,366.67,1,0.18463845551013947,0.1446865350008011,0.27752,0.00042688549729064107,-5.253,4.008,2.677,137.736,1.18497
12,400.0,1,0.1828804910182953,0.14315946400165558,0.27749,0.0004541749367490411,-5.279,4.021,2.649,137.775,1.18496
13,433.33,1,0.18190045654773712,0.14211617410182953,0.27804,0.00045619020238518715,-5.319,4.036,2.651,137.838,1.18467
14,466.67,1,0.19043970108032227,0.15495672821998596,0.27429,0.000503183517139405,-5.4,3.978,2.639,137.739,1.18516
