frame_idx,t_ms,face,eye_blink_l,eye_blink_r,ear,jaw_open,pitch,yaw,roll,bright_mean,warmth
0,0.0,1,0.09355027228593826,0.07649552822113037,0.28341,0.0043357135728001595,4.226,-0.887,0.766,126.407,1.12031
1,33.37,1,0.10188599675893784,0.08623863011598587,0.28186,0.0038070797454565763,4.155,-0.947,0.696,126.47,1.11996
2,66.73,1,0.10775970667600632,0.09454935789108276,0.28018,0.0033963427413254976,4.209,-0.978,0.649,126.444,1.12014
3,100.1,1,0.1108274906873703,0.10224731266498566,0.27852,0.003170452080667019,4.251,-1.002,0.616,126.469,1.11969
4,133.47,1,0.11331894248723984,0.1074744313955307,0.2771,0.003032687120139599,4.278,-1.009,0.6,126.35,1.12029
5,166.83,1,0.11621922999620438,0.11161310225725174,0.27615,0.0029414028394967318,4.308,-1.032,0.578,126.454,1.12037
6,200.2,1,0.11851924657821655,0.11719997972249985,0.27495,0.002872111741453409,4.292,-1.049,0.552,126.372,1.12085
7,233.57,1,0.11834671348333359,0.118568055331707,0.27453,0.0028122521471232176,4.288,-1.07,0.535,126.351,1.12107
8,266.93,1,0.11937735974788666,0.12173552066087723,0.27361,0.0027258950285613537,4.284,-1.096,0.514,126.094,1.12297
9,300.3,1,0.12078665941953659,0.12668907642364502,0.27245,0.0027136006392538548,4.272,-1.116,0.502,126.157,1.1231
10,333.67,1,0.12201305478811264,0.12894587218761444,0.27202,0.002696647308766842,4.257,-1.121,0.499,126.121,1.12342
11,367.03,1,0.12232647091150284,0.12916956841945648,0.27223,0.0026851810980588198,4.247,-1.129,0.502,126.316,1.12258
12,400.4,1,0.12218914926052094,0.12896887958049774,0.27235,0.0026612915098667145,4.243,-1.145,0.508,126.296,1.1227
13,433.77,1,0.12016048282384872,0.1285988688468933,0.27299,0.002666114829480648,4.215,-1.17,0.513,126.313,1.12034
14,467.13,1,0.11827442049980164,0.12836165726184845,0.27322,0.002669497625902295,4.185,-1.193,0.531,126.238,1.1235
15,500.5,1,0.11835045367479324,0.12854106724262238,0.27317,0.002668923931196332,4.174,-1.208,0.538,126.305,1.12279
16,533.87,1,0.11902860552072525,0.12974482774734497,0.27301,0.002657802775502205,4.168,-1.213,0.534,126.204,1.12161
17,567.23,1,0.11918584257364273,0.13007669150829315,0.2731,0.0026751782279461622,4.165,-1.209,0.53,126.365,1.12009
18,600.6,1,0.11928427219390869,0.13031868636608124,0.27317,0.0026873683091253042,4.164,-1.218,0.531,126.212,1.12154
19,633.97,1,0.1180017739534378,0.13046348094940186,0.27341,0.002717666793614626,4.156,-1.237,0.532,126.362,1.11967
20,667.33,1,0.11730876564979553,0.13022048771381378,0.2736,0.002721963683143258,4.146,-1.255,0.536,126.21,1.1204
21,700.7,1,0.11708348989486694,0.1302272081375122,0.27352,0.0027209711261093616,4.146,-1.257,0.538,126.243,1.12269
22,734.07,1,0.11730638891458511,0.1306404024362564,0.27347,0.0027061947621405125,4.141,-1.26,0.534,126.063,1.12473
23,767.43,1,0.11739912629127502,0.13081392645835876,0.27339,0.0027060583233833313,4.136,-1.261,0.533,126.14,1.12469
24,800.8,1,0.11744270473718643,0.1308499425649643,0.27328,0.00271419296041131,4.131,-1.263,0.532,126.013,1.12588
25,834.17,1,0.11745738238096237,0.13082483410835266,0.27306,0.0027220051269978285,4.13,-1.266,0.534,126.075,1.12554
26,867.53,1,0.11830509454011917,0.1313992738723755,0.27277,0.0026971385814249516,4.131,-1.267,0.53,126.02,1.12534
27,900.9,1,0.11870496720075607,0.131704643368721,0.27268,0.0027007844764739275,4.133,-1.27,0.529,126.202,1.12395
28,934.27,1,0.11944663524627686,0.13270778954029083,0.27217,0.0027052192017436028,4.121,-1.266,0.535,126.199,1.12369
29,967.63,1,0.119778573513031,0.13366827368736267,0.27155,0.002687148516997695,4.131,-1.266,0.538,126.206,1.12463
30,1001.0,1,0.11984070390462875,0.13534171879291534,0.27141,0.0026827051769942045,4.167,-1.271,0.544,126.122,1.12622
31,1034.37,1,0.12126539647579193,0.13740582764148712,0.27085,0.002643897896632552,4.169,-1.266,0.556,126.135,1.12692
32,1067.73,1,0.12134380638599396,0.13901786506175995,0.27103,0.002574176760390401,4.168,-1.255,0.586,126.365,1.12702
33,1101.1,1,0.12299609184265137,0.14102189242839813,0.27054,0.0025015745777636766,4.07,-1.217,0.644,126.567,1.12923
34,1134.47,1,0.1236158162355423,0.14316214621067047,0.27045,0.002475201617926359,3.946,-1.181,0.708,131.763,1.14391
35,1167.83,1,0.12210605293512344,0.1394776701927185,0.27186,0.0024441296700388193,3.845,-1.126,0.749,139.993,1.17378
36,1201.2,1,0.12337271869182587,0.14166736602783203,0.2716,0.0024891840294003487,3.829,-1.099,0.821,143.104,1.18037
37,1234.57,1,0.12152564525604248,0.13919392228126526,0.27225,0.002564462600275874,3.838,-1.085,0.945,142.82,1.17143
38,1267.93,1,0.12225422263145447,0.13977451622486115,0.27189,0.0026323951315134764,3.879,-1.076,1.036,140.556,1.16103
39,1301.3,1,0.124934121966362,0.13928890228271484,0.2713,0.0025871372781693935,4.009,-1.227,1.104,139.131,1.15213
40,1334.67,1,0.12865500152111053,0.1397305130958557,0.27012,0.0027100208681076765,4.111,-1.401,1.137,138.114,1.14651
41,1368.03,1,0.12874874472618103,0.13743627071380615,0.26976,0.0026687486097216606,4.135,-1.521,1.12,136.842,1.14047
42,1401.4,1,0.12746404111385345,0.13814011216163635,0.27056,0.002706322120502591,4.027,-1.794,1.124,135.958,1.14226
43,1434.77,1,0.11981844902038574,0.13052988052368164,0.27371,0.0026157298125326633,3.948,-1.949,1.115,134.862,1.14054
44,1468.13,1,0.11532261967658997,0.12373491376638412,0.2757,0.002663576742634177,3.828,-2.109,1.092,134.255,1.13891
45,1501.5,1,0.10993930697441101,0.11890855431556702,0.27722,0.0025904567446559668,3.762,-2.261,1.04,133.636,1.13918
46,1534.87,1,0.10800228267908096,0.11827266216278076,0.27785,0.002700959099456668,3.753,-2.411,0.988,133.252,1.139
47,1568.23,1,0.10234671086072922,0.11614304780960083,0.27863,0.0029893151950091124,3.793,-2.53,0.934,132.988,1.13977
48,1601.6,1,0.09727919101715088,0.11081113666296005,0.28059,0.003043838543817401,3.892,-2.612,0.898,132.741,1.13922
49,1634.97,1,0.11660148948431015,0.12217818945646286,0.27479,0.0033723823726177216,3.93,-2.651,0.837,132.609,1.13977
50,1668.33,1,0.5310183763504028,0.5207285284996033,0.12761,0.004956214688718319,3.961,-2.808,0.763,132.822,1.13911
51,1701.7,1,0.6938860416412354,0.6783105134963989,0.05807,0.006179118994623423,3.865,-2.859,0.939,132.783,1.13512
52,1735.07,1,0.6209351420402527,0.65831458568573,0.05961,0.0070160324685275555,3.7,-3.043,1.24,132.988,1.1349
53,1768.43,1,0.29280292987823486,0.39586693048477173,0.18207,0.005809426307678223,3.477,-3.18,1.544,132.971,1.13491
54,1801.8,1,0.13941991329193115,0.20200321078300476,0.25931,0.004369551781564951,3.456,-3.312,1.72,132.989,1.13407
55,1835.17,1,0.08347257971763611,0.10043440014123917,0.29568,0.003924012649804354,3.349,-3.491,1.856,132.946,1.13038
56,1868.53,1,0.05328019708395004,0.06588104367256165,0.3113,0.0036894602235406637,3.129,-3.774,2.025,133.234,1.12626
57,1901.9,1,0.04049256071448326,0.057139258831739426,0.31679,0.0035644425079226494,2.961,-3.997,2.282,133.173,1.12608
58,1935.27,1,0.03475378081202507,0.05463220551609993,0.31776,0.0032627924811095,2.869,-4.125,2.56,133.214,1.12598
59,1968.63,1,0.03162729740142822,0.05282105877995491,0.31913,0.003266556654125452,2.724,-4.283,2.806,132.993,1.12749
60,2002.0,1,0.028662826865911484,0.049512289464473724,0.32029,0.003283032914623618,2.572,-4.44,3.063,132.821,1.12733
61,2035.37,1,0.024769233539700508,0.04423129931092262,0.32505,0.003409862518310547,2.322,-4.736,3.404,132.738,1.12742
